Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,Arm,Avg EV,Max EV,FV,playerId
"Wander Franco","SS","TBR",1,1,"19.6277777","60 / 80",60,70,"45 / 60","55 / 60","60 / 60","50 / 55","60 / 60",89,108,"80","sa3007033"
"Adley Rutschman","C","BAL",3,1,"22.6972222","45 / 60",60,45,"40 / 55","60 / 60","40 / 35","60 / 70","60 / 60",91,107,"60","sa3011643"
"Julio Rodriguez","RF","SEA",4,1,"19.8","25 / 60",45,60,"25 / 60","60 / 65","40 / 40","45 / 50","55 / 55",92,109,"60","sa3005720"
"Joey Bart","C","SFG",5,1,"23.8388888","35 / 45",45,50,"50 / 60","60 / 60","35 / 30","65 / 70","55 / 55",92,109,"60","21524"
"Jarred Kelenic","CF","SEA",6,2,"21.2527777","45 / 60",50,50,"45 / 55","60 / 60","55 / 50","45 / 45","60 / 60",90,107,"60","sa3007741"
"Royce Lewis","CF","MIN",7,1,"21.3666666","30 / 50",40,50,"40 / 60","60 / 65","60 / 50","40 / 45","50 / 50",90,108,"60","sa3004259"
"Jo Adell","LF","LAA",9,1,"21.525","30 / 45",50,40,"50 / 70","70 / 70","60 / 50","40 / 45","40 / 40",92,116,"60","20220"
"Cristian Pache","CF","ATL",11,1,"21.9111111","35 / 45",45,40,"30 / 45","50 / 55","65 / 65","70 / 80","70 / 70",88,105,"60","19948"
"CJ Abrams","CF","SDP",12,3,"20.0388888","25 / 70",40,70,"20 / 45","50 / 60","80 / 70","40 / 45","50 / 50",89,102,"60","sa3010152"
"Bobby Witt Jr.","SS","KCR",13,1,"20.3416666","20 / 45",50,40,"25 / 60","60 / 65","60 / 60","50 / 60","60 / 60",92,109,"60","sa3011225"
"Marco Luciano","SS","SFG",14,2,"19.0222222","25 / 60",55,50,"25 / 70","60 / 70","50 / 45","40 / 45","50 / 55",92,109,"60","sa3010022"
"Ke'Bryan Hayes","3B","PIT",15,1,"23.7194444","50 / 60",60,55,"45 / 50","50 / 50","60 / 55","60 / 70","60 / 60",92,110,"60","18577"
"Spencer Torkelson","1B","DET",16,2,"21.1416666","35 / 55",70,55,"35 / 65","65 / 70","40 / 40","45 / 50","40 / 40",101,112,"60",
"Andrew Vaughn","1B","CHW",17,1,"22.5388888","40 / 65",70,60,"65 / 65","45 / 60","30 / 30","40 / 45","45 / 45",91,111,"60","sa3011226"
"Vidal Brujan","2B","TBR",19,2,"22.6888888","50 / 65",55,60,"30 / 45","45 / 50","65 / 65","55 / 70","50 / 50",87,104,"60","sa872786"
"Kristian Robinson","CF","ARI",22,1,"19.85","20 / 50",50,45,"45 / 60","60 / 70","60 / 55","45 / 50","60 / 60",92,109,"55","sa3006884"
"Oneil Cruz","SS","PIT",27,2,"22.0361111","30 / 40",35,50,"30 / 60","70 / 80","60 / 45","40 / 45","80 / 80",91,112,"55","sa917318"
"Jazz Chisholm","SS","MIA",28,2,"22.7111111","30 / 40",30,50,"45 / 55","55 / 55","60 / 60","50 / 55","55 / 55",91,108,"55","20454"
"Ronny Mauricio","SS","NYM",29,1,"19.5361111","25 / 50",35,45,"20 / 50","45 / 55","50 / 50","45 / 50","55 / 60",87,102,"55","sa3006887"
"Brandon Marsh","CF","LAA",30,2,"22.8305555","45 / 55",55,50,"40 / 50","55 / 60","60 / 55","50 / 50","60 / 60",90,110,"55","sa917944"
